date,bench,water,origin,sp1,sp2,sp3,sp4,fxn,spp_num,fnc_num,unit,frame,B1_Liv1,B2_Liv2,B1_Bry,B2_Syn,B1,B2,L2,L1,GA,Nostoc,DC,LC,Moss_unk,Mold,Peltula,Funaria,Moss,Volvox,Liv_unk
2016_12_16,1,1,O,0,B2,0,0,B,1,1,33,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,0,B2,0,0,B,1,1,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,0,B2,0,0,B,1,1,33,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,0,B2,0,0,B,1,1,33,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,0,B2,0,0,B,1,1,33,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,0,B2,L1,L2,BLL,3,2,34,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,0,B2,L1,L2,BLL,3,2,34,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,0,B2,L1,L2,BLL,3,2,34,3,0,3,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,0,B2,L1,L2,BLL,3,2,34,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,0,B2,L1,L2,BLL,3,2,34,5,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,B1,0,0,L2,BL,2,2,35,1,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,B1,0,0,L2,BL,2,2,35,2,0,0,0,5,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,B1,0,0,L2,BL,2,2,35,3,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,B1,0,0,L2,BL,2,2,35,4,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,B1,0,0,L2,BL,2,2,35,5,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,0,0,0,L2,L,1,1,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,0,0,0,L2,L,1,1,36,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,0,0,0,L2,L,1,1,36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,0,0,0,L2,L,1,1,36,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,0,0,0,L2,L,1,1,36,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,0,0,L1,0,L,1,1,37,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,0,0,L1,0,L,1,1,37,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,0,0,L1,0,L,1,1,37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
